id,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,bed_type,price,price_r,minimum_nights,review,reviews_per_month
2748298,Western Addition,37.77106636,-122.4294923,Private room,2,1,1,Real Bed,90,Low,3,Medium,2.86
7369364,Western Addition,37.78810561,-122.4383882,Private room,2,1,1,Real Bed,110,Medium,1,High,4.43
9826167,Western Addition,37.77552879,-122.4330171,Private room,2,1,1,Real Bed,58,Low,1,Very High,0.1
11207223,Western Addition,37.77218814,-122.4318994,Private room,2,1,1,Real Bed,80,Low,1,Very High,0.29
1273709,Western Addition,37.76992366,-122.4305465,Entire home/apt,2,1,1,Real Bed,120,Medium,4,High,0.22
2371394,Western Addition,37.76938789,-122.4332405,Entire home/apt,2,1,1,Real Bed,178,High,7,High,0.62
1257032,Western Addition,37.78547385,-122.4431657,Entire home/apt,7,3,4,Real Bed,395,Very High,2,Medium,0.34
3042811,Western Addition,37.77079893,-122.42713,Entire home/apt,2,1,1,Real Bed,175,High,2,Very High,0.39
808919,Western Addition,37.77699843,-122.4368067,Private room,2,1,1,Real Bed,110,Medium,2,High,1.09
13479950,Western Addition,37.76994544,-122.4322637,Private room,2,1,1,Real Bed,80,Low,1,Very High,0.79
7351420,Western Addition,37.77385449,-122.4328288,Entire home/apt,2,1,1,Real Bed,139,Medium,2,Low,0.05
1764449,Western Addition,37.78281229,-122.4282051,Private room,1,1,1,Real Bed,98,Low,4,High,0.54
15859766,Western Addition,37.7760932,-122.4238821,Private room,1,1,1,Real Bed,85,Low,3,Medium,0.83
16542790,Western Addition,37.77178456,-122.426144,Private room,1,0,1,Real Bed,56,Low,2,Medium,1.11
13937718,Western Addition,37.78130312,-122.4319519,Entire home/apt,4,2,2,Real Bed,197,High,1,Very High,0.12
2305039,Western Addition,37.77931133,-122.4359459,Entire home/apt,6,3,4,Real Bed,224,High,5,Medium,1.15
4730628,Western Addition,37.77624564,-122.427884,Private room,1,1,1,Real Bed,100,Low,1,Very High,0.04
5320410,Western Addition,37.77807731,-122.439775,Entire home/apt,2,1,1,Real Bed,170,High,2,Medium,1.12
1460174,Western Addition,37.77895073,-122.4363379,Entire home/apt,5,3,3,Real Bed,480,Very High,3,High,0.65
60365,Western Addition,37.76965594,-122.4349623,Entire home/apt,6,3,4,Real Bed,365,Very High,4,High,2.55
9251816,Western Addition,37.76971594,-122.4309515,Entire home/apt,2,1,1,Real Bed,170,High,2,High,0.55
17718432,Western Addition,37.77433336,-122.4309546,Private room,2,1,1,Real Bed,95,Low,1,Very High,4
10808224,Western Addition,37.77751113,-122.4378645,Entire home/apt,4,2,2,Real Bed,195,High,3,Very High,0.6
1305478,Western Addition,37.7710188,-122.43049,Entire home/apt,5,2,3,Real Bed,350,Very High,28,High,0.54
7072662,Western Addition,37.77519905,-122.4376538,Entire home/apt,3,0,1,Real Bed,132,Medium,90,Very High,0.28
14647698,Western Addition,37.78131847,-122.4327033,Private room,2,1,1,Real Bed,79,Low,1,Medium,5.69
1053136,Western Addition,37.77896096,-122.440897,Private room,2,1,1,Real Bed,175,High,31,High,3.15
715504,Western Addition,37.77770151,-122.4355897,Private room,1,1,1,Real Bed,80,Low,3,High,1.61
16231784,Western Addition,37.7840185,-122.431989,Entire home/apt,2,0,2,Real Bed,110,Medium,2,High,4.41
12677090,Western Addition,37.77089187,-122.4301608,Private room,2,1,1,Real Bed,80,Low,7,Medium,0.28
10792256,Western Addition,37.77271395,-122.4283946,Entire home/apt,3,1,1,Real Bed,200,High,2,Very High,0.11
16706877,Western Addition,37.77007839,-122.4325508,Entire home/apt,4,1,2,Real Bed,119,Medium,1,High,6.16
578097,Western Addition,37.77052969,-122.4284775,Entire home/apt,4,2,2,Real Bed,280,Very High,3,Very High,0.21
8908059,Western Addition,37.77453243,-122.4360044,Entire home/apt,2,1,1,Real Bed,165,High,2,Medium,0.35
15872552,Western Addition,37.7785836,-122.4318277,Private room,1,1,1,Real Bed,62,Low,1,Medium,0.63
7417050,Western Addition,37.7875997,-122.4266388,Entire home/apt,2,0,1,Real Bed,130,Medium,2,Medium,0.96
421056,Western Addition,37.77273253,-122.436304,Entire home/apt,2,1,1,Real Bed,185,High,3,High,2
8596659,Western Addition,37.78843813,-122.4304902,Entire home/apt,2,1,1,Real Bed,229,High,2,Very High,0.06
583290,Western Addition,37.77116352,-122.4358346,Entire home/apt,6,3,3,Real Bed,395,Very High,4,Very High,0.05
7956253,Western Addition,37.77797617,-122.4337226,Entire home/apt,4,2,2,Real Bed,175,High,13,Medium,0.31
1682072,Western Addition,37.782775,-122.4431321,Entire home/apt,4,1,2,Real Bed,175,High,30,Medium,1.52
1304808,Western Addition,37.7737595,-122.4273353,Entire home/apt,2,1,1,Real Bed,210,High,2,Medium,1.35
10418322,Western Addition,37.77919737,-122.4353294,Private room,2,1,1,Real Bed,98,Low,2,High,4.29
18904,Western Addition,37.77252152,-122.4321565,Private room,2,1,1,Real Bed,110,Medium,2,High,3.85
756670,Western Addition,37.77457734,-122.4289245,Entire home/apt,4,2,2,Real Bed,265,Very High,3,Medium,2.91
11872752,Western Addition,37.77497351,-122.4259367,Entire home/apt,4,1,2,Real Bed,150,Medium,2,High,4.62
7776769,Western Addition,37.78696737,-122.4325896,Entire home/apt,2,1,1,Real Bed,99,Low,3,Very High,0.05
4164567,Western Addition,37.77150332,-122.4332693,Entire home/apt,4,2,2,Real Bed,399,Very High,2,High,0.65
1084371,Western Addition,37.77533165,-122.4306429,Entire home/apt,6,2,3,Real Bed,325,Very High,2,Medium,1.01
846294,Western Addition,37.77867732,-122.4412801,Entire home/apt,4,2,2,Real Bed,160,High,3,Medium,0.22
1255826,Western Addition,37.77048711,-122.4286868,Entire home/apt,2,1,1,Real Bed,155,High,3,High,3.56
25463,Western Addition,37.77728949,-122.4342115,Private room,2,1,1,Real Bed,110,Medium,2,High,3.74
3271517,Western Addition,37.77080542,-122.4301776,Private room,2,1,1,Real Bed,125,Medium,3,High,4.29
731591,Western Addition,37.77504385,-122.4329466,Private room,2,1,1,Real Bed,70,Low,4,Medium,0.28
1190125,Western Addition,37.77080841,-122.4341641,Entire home/apt,4,1,1,Real Bed,360,Very High,1,Medium,0.58
15582931,Western Addition,37.77778402,-122.4397921,Entire home/apt,2,1,1,Real Bed,185,High,2,High,2.12
9545950,Western Addition,37.78527354,-122.4353023,Private room,2,1,1,Real Bed,150,Medium,1,High,3.6
4810969,Western Addition,37.7752298,-122.4313234,Entire home/apt,2,1,2,Real Bed,160,High,4,Very High,0.08
682134,Western Addition,37.77430742,-122.4285219,Entire home/apt,2,1,1,Real Bed,150,Medium,32,High,1.09
10574866,Western Addition,37.78483732,-122.4361171,Private room,2,1,1,Real Bed,79,Low,2,Medium,0.63
6761066,Western Addition,37.77075573,-122.4300328,Entire home/apt,4,2,2,Real Bed,200,High,5,Very High,0.26
14919747,Western Addition,37.78401436,-122.4421087,Entire home/apt,6,3,3,Real Bed,1230,Very High,3,Very High,0.17
3614773,Western Addition,37.78290329,-122.4342429,Entire home/apt,2,1,2,Real Bed,150,Medium,2,Medium,1.47
12609202,Western Addition,37.77327416,-122.4245675,Private room,1,1,1,Real Bed,70,Low,21,Very High,0.11
5309235,Western Addition,37.77441809,-122.4347858,Private room,2,1,1,Real Bed,90,Low,3,Medium,1.12
16181249,Western Addition,37.77131041,-122.4364576,Private room,1,1,,Real Bed,70,Low,3,Very High,0.33
10807113,Western Addition,37.77486741,-122.4282485,Private room,2,1,1,Real Bed,115,Medium,1,Medium,0.91
10839865,Western Addition,37.78673842,-122.4430186,Entire home/apt,6,4,4,Real Bed,900,Very High,1,Very High,0.14
26408,Western Addition,37.77477848,-122.4314987,Entire home/apt,10,4,7,Real Bed,350,Very High,3,Medium,0.32
9023447,Western Addition,37.78309286,-122.4323771,Private room,2,1,1,Real Bed,102,Medium,1,Medium,5.61
13936968,Western Addition,37.77832194,-122.4328293,Private room,4,2,2,Real Bed,249,High,3,Very High,0.51
9021715,Western Addition,37.78570003,-122.4446506,Entire home/apt,6,2,5,Real Bed,299,Very High,2,Medium,1.89
845502,Western Addition,37.77444138,-122.4367246,Entire home/apt,4,2,2,Real Bed,550,Very High,5,Medium,0.09
6628985,Western Addition,37.78472301,-122.4466628,Private room,2,1,1,Real Bed,80,Low,2,Medium,2.35
9119340,Western Addition,37.77692732,-122.4407471,Private room,2,1,1,Real Bed,120,Medium,1,Very High,0.06
1615088,Western Addition,37.78009476,-122.4386478,Private room,2,1,2,Real Bed,99,Low,2,High,3.62
15272649,Western Addition,37.77752012,-122.4384741,Entire home/apt,4,2,2,Real Bed,300,Very High,2,Medium,1.01
4269254,Western Addition,37.78297166,-122.4315598,Entire home/apt,2,1,1,Real Bed,150,Medium,2,High,4.39
14836958,Western Addition,37.77313678,-122.4331635,Private room,4,1,2,Real Bed,200,High,4,Medium,0.67
834226,Western Addition,37.77121045,-122.4293642,Private room,1,1,1,Real Bed,75,Low,20,Medium,1.36
1714155,Western Addition,37.78761189,-122.4243782,Entire home/apt,2,1,1,Real Bed,92,Low,3,Medium,0.25
3844037,Western Addition,37.7737143,-122.4247151,Entire home/apt,4,2,2,Real Bed,350,Very High,4,High,2.68
16999054,Western Addition,37.78126401,-122.4319733,Entire home/apt,3,1,2,Real Bed,120,Medium,2,Low,2.5
13248418,Western Addition,37.77252637,-122.4264118,Entire home/apt,4,1,2,Real Bed,149,Medium,1,Very High,0.11
4171658,Western Addition,37.78635946,-122.4452368,Entire home/apt,2,1,1,Real Bed,230,High,1,High,1.76
8194727,Western Addition,37.78319847,-122.4339185,Entire home/apt,3,1,1,Real Bed,150,Medium,3,Very High,0.05
15328406,Western Addition,37.77046767,-122.4322832,Private room,2,1,1,Real Bed,63,Low,5,Medium,2.01
12608643,Western Addition,37.77043796,-122.4349724,Private room,1,1,1,Real Bed,100,Low,1,Very High,0.1
564074,Western Addition,37.78713029,-122.4462041,Private room,2,1,1,Real Bed,99,Low,2,Very High,0.12
1467522,Western Addition,37.77519232,-122.4358972,Entire home/apt,5,2,2,Real Bed,237,High,2,High,0.18
12340407,Western Addition,37.77346442,-122.4309298,Entire home/apt,1,1,1,Real Bed,90,Low,10,Very High,0.09
